Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability,Testable commits,Testability_C,Testability_B,Testability_T
hive,ManySStub4J,4678,888115.0,15531,0,0.0,0,0.0,0,0.0,0.0,0.0
hbase,ManySStub4J,5196,570212.0,18612,0,0.0,0,0.0,0,0.0,0.0,0.0
atmosphere,ManySStub4J,4055,33600.0,6005,1872,0.31174021648626143,1832,0.9786324786324786,892,0.14854288093255621,0.47649572649572647,0.4868995633187773
async-http-client,ManySStub4J,4130,27054.0,4101,1775,0.4328212631065594,1541,0.8681690140845071,0,0.0,0.0,0.0
apache-druid,ManySStub4J,3166,,1312,0,0.0,0,0.0,0,0.0,0.0,0.0
antlr4,ManySStub4J,2488,125815.0,5403,1464,0.27096057745696833,1426,0.9740437158469946,51,0.009439200444197668,0.03483606557377049,0.03576437587657784
ansj_seg,ManySStub4J,3165,1262.0,703,304,0.43243243243243246,267,0.8782894736842105,209,0.2972972972972973,0.6875,0.7827715355805244
android-volley,ManySStub4J,1651,4348.0,1932,145,0.07505175983436853,126,0.8689655172413793,123,0.06366459627329192,0.8482758620689655,0.9761904761904762
alluxio,ManySStub4J,2786,197517.0,31180,5701,0.18284156510583707,5643,0.989826346255043,193,0.00618986529826812,0.03385370987546044,0.03420166578061315
YCSB,ManySStub4J,3956,21006.0,1299,0,0.0,0,0.0,0,0.0,0.0,0.0
Mycat-Server,ManySStub4J,2386,27703.0,2832,0,0.0,0,0.0,0,0.0,0.0,0.0
HikariCP,ManySStub4J,2783,9551.0,2788,2677,0.9601865136298422,2655,0.9917818453492716,472,0.16929698708751795,0.17631677250653716,0.17777777777777778
HanLP,ManySStub4J,2428,90.0,1493,1082,0.724715338245144,577,0.533271719038817,0,0.0,0.0,0.0
FizzBuzzEnterpriseEdition,ManySStub4J,2580,1168.0,184,141,0.7663043478260869,137,0.9716312056737588,84,0.45652173913043476,0.5957446808510638,0.6131386861313869
Essentials,ManySStub4J,51,12310.0,345,0,0.0,0,0.0,0,0.0,0.0,0.0
DiskLruCache,ManySStub4J,1624,1436.0,136,136,1.0,133,0.9779411764705882,96,0.7058823529411765,0.7058823529411765,0.7218045112781954
DataX,ManySStub4J,1239,8132.0,174,0,0.0,0,0.0,0,0.0,0.0,0.0
CoreNLP,ManySStub4J,2878,259175.0,16467,2787,0.16924758608125343,2777,0.9964119124506639,2587,0.15710208295378636,0.9282382490132759,0.9315808426359381
Bukkit,ManySStub4J,1325,26295.0,1509,1404,0.9304174950298211,742,0.5284900284900285,736,0.487740225314778,0.5242165242165242,0.9919137466307277
auto,ManySStub4J,2953,26651.0,1297,1055,0.8134155744024673,152,0.14407582938388624,151,0.1164225134926754,0.14312796208530806,0.993421052631579
camel,ManySStub4J,5211,1146447.0,53286,21,0.0003940997635401419,20,0.9523809523809523,20,0.0003753331081334684,0.9523809523809523,1.0
canal,ManySStub4J,2409,11842.0,1442,585,0.4056865464632455,0,0.0,0,0.0,0.0,0.0
checkstyle,ManySStub4J,7307,213660.0,10340,8036,0.7771760154738878,7688,0.9566948730711797,81,0.007833655705996131,0.010079641612742657,0.010535900104058273
hadoop,ManySStub4J,4419,1534445.0,25039,212,0.008466791804784535,145,0.6839622641509434,0,0.0,0.0,0.0
guice,ManySStub4J,5378,59302.0,1935,703,0.3633074935400517,0,0.0,0,0.0,0.0,0.0
guava,ManySStub4J,4388,408029.0,5578,1260,0.22588741484403013,1040,0.8253968253968254,0,0.0,0.0,0.0
graylog2-server,ManySStub4J,4056,191685.0,19180,307,0.01600625651720542,217,0.7068403908794788,195,0.010166840458811261,0.6351791530944625,0.8986175115207373
gephi,ManySStub4J,4228,98077.0,4626,0,0.0,0,0.0,0,0.0,0.0,0.0
flink,ManySStub4J,3236,702739.0,18706,98,0.005238960761253074,95,0.9693877551020408,3,0.00016037634983427778,0.030612244897959183,0.031578947368421054
