id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
676,e7104af,SUCCESS,8,SUCCESS,5,SUCCESS,23,2018-12-17 09:35:02 +0800,Merge branch 'master' of https://github.com/NLPchina/ansj_seg,42,989
677,94adf50,SUCCESS,7,SUCCESS,5,FAIL,21,2018-12-17 14:01:04 +0800,优化效率，增加url规则,42,1014
678,037e50d,SUCCESS,7,SUCCESS,7,SUCCESS,22,2018-12-17 14:07:43 +0800,Merge pull request #1 from NLPchina/master,42,988
679,9bb7513,SUCCESS,8,SUCCESS,6,FAIL,23,2018-12-17 14:09:20 +0800,Merge branch 'master' of https://github.com/chenjinyuan87/ansj_seg,42,1014
680,1addfa0,SUCCESS,7,SUCCESS,6,FAIL,21,2018-12-21 18:13:16 +0800,Merge pull request #706 from chenjinyuan87/master,42,1014
681,ea717f0,SUCCESS,7,SUCCESS,6,FAIL,23,2019-07-16 14:44:07 +0800,fix bug for #726,42,1014
682,12772cd,SUCCESS,7,SUCCESS,5,FAIL,22,2019-11-17 17:11:30 +0800,fix NLPchina/elasticsearch-analysis-ansj#160,42,1014
683,4deadeb,SUCCESS,9,SUCCESS,5,FAIL,25,2019-11-17 18:28:28 +0800,发布到maven仓库需要生成javadoc的jar包,42,1014
684,2b5b4a5,SUCCESS,7,SUCCESS,6,FAIL,21,2020-01-31 21:52:19 +0800,add example extracting,42,1014
685,52d6a8d,SUCCESS,7,SUCCESS,6,FAIL,21,2020-08-25 18:35:02 +0800,fix CI: change to openjdk,42,1014
686,60ccd54,SUCCESS,8,SUCCESS,5,SUCCESS,24,2020-08-25 17:23:13 +0800,fix issue #756,42,1014
687,f0718e9,SUCCESS,6,SUCCESS,6,FAIL,23,2020-08-26 13:10:58 +0800,Merge pull request #758 from Alanscut/fix-ci,42,1014
688,80a9d5d,SUCCESS,7,SUCCESS,6,SUCCESS,21,2020-08-26 13:11:23 +0800,Merge pull request #757 from Alanscut/recognition,42,1014
689,eb239bf,SUCCESS,6,SUCCESS,6,FAIL,21,2020-09-03 20:07:44 +0800,add PhoneRecognitionTest.java,43,1038
690,f6d97a3,SUCCESS,6,SUCCESS,6,FAIL,25,2020-09-07 11:58:32 +0800,add DicRecognitionTest.java,42,1035
691,d2c24fa,SUCCESS,7,SUCCESS,6,FAIL,25,2020-09-10 16:01:39 +0800,add RuleTest,45,1127
692,87aadfd,SUCCESS,7,SUCCESS,6,FAIL,23,2020-09-12 14:52:23 +0800,add RuleTest,45,1157
693,8d48802,SUCCESS,7,SUCCESS,5,FAIL,23,2020-09-14 15:19:19 +0800,add ExtractingTaskTest,45,1074
694,de4e2d9,SUCCESS,7,SUCCESS,6,SUCCESS,23,2020-09-14 16:54:26 +0800,Merge pull request #767 from Alanscut/ansj_seg_test0912,45,1074
695,223a5aa,SUCCESS,8,SUCCESS,5,SUCCESS,23,2020-09-14 16:54:58 +0800,Merge pull request #764 from Alanscut/ansj_seg_test0907,48,1217
696,45db214,SUCCESS,6,SUCCESS,6,SUCCESS,24,2020-09-14 16:55:13 +0800,Merge pull request #763 from Alanscut/ansj_seg_test0905,48,1238
697,b2e34e5,SUCCESS,7,SUCCESS,6,SUCCESS,25,2020-09-14 16:55:25 +0800,Merge pull request #762 from Alanscut/ansj_seg_test0903_01,49,1262
698,014e866,SUCCESS,7,SUCCESS,6,SUCCESS,26,2020-09-14 17:19:30 +0800,update readme: fix typos and format,49,1262
699,a69a76e,SUCCESS,7,SUCCESS,5,SUCCESS,24,2020-09-14 17:23:46 +0800,Merge pull request #768 from Alanscut/readme,49,1262
700,4efb494,SUCCESS,6,SUCCESS,6,SUCCESS,23,2020-09-16 17:24:24 +0800,Update README.md,49,1262
701,f6774d6,SUCCESS,8,SUCCESS,6,SUCCESS,25,2020-09-16 17:24:37 +0800,Update README.md,49,1262
702,d1bddb2,SUCCESS,7,SUCCESS,5,SUCCESS,22,2021-05-05 11:03:02 +0800,AnsjAnalyzer新增构造器，允许传ReuseStrategy,49,1262
