id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
86,9e67cf6c,FAIL,12,NO,0,NO,0,2008-09-04 15:11:05 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.osworkflow-2.7.0_1,0,0
87,139b6dc4,FAIL,13,NO,0,NO,0,2008-09-04 15:11:11 +0000,[maven-release-plugin] prepare for next development iteration,0,0
88,848b91a4,FAIL,11,NO,0,NO,0,2008-09-04 15:14:02 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.propertyset-1.3_1,0,0
89,465cff81,FAIL,12,NO,0,NO,0,2008-09-04 15:14:08 +0000,[maven-release-plugin] prepare for next development iteration,0,0
90,e43781bb,FAIL,11,NO,0,NO,0,2008-09-04 15:27:38 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.quartz-1.5.2_1,0,0
91,e0b87e61,FAIL,13,NO,0,NO,0,2008-09-04 15:27:45 +0000,[maven-release-plugin] prepare for next development iteration,0,0
92,83808519,FAIL,11,NO,0,NO,0,2008-09-04 15:29:33 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.saxon-9.1.0.1_1,0,0
93,662e3ab3,FAIL,13,NO,0,NO,0,2008-09-04 15:29:37 +0000,[maven-release-plugin] prepare for next development iteration,0,0
94,333113ca,FAIL,21,NO,0,NO,0,2008-09-04 15:31:02 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.woodstox-3.2.7_1,0,0
95,889d513b,FAIL,14,NO,0,NO,0,2008-09-04 15:31:10 +0000,[maven-release-plugin] prepare for next development iteration,0,0
96,479e1bf5,FAIL,12,NO,0,NO,0,2008-09-04 15:34:00 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.wsdl4j-1.6.1_1,0,0
97,8989708c,FAIL,13,NO,0,NO,0,2008-09-04 15:34:15 +0000,[maven-release-plugin] prepare for next development iteration,0,0
98,bb2bd5ae,FAIL,17,NO,0,NO,0,2008-09-04 15:41:37 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.wss4j-1.5.4_1,0,0
99,3bd30c10,FAIL,33,NO,0,NO,0,2008-09-04 15:41:42 +0000,[maven-release-plugin] prepare for next development iteration,0,0
100,9f18b016,FAIL,15,NO,0,NO,0,2008-09-04 15:55:25 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.xmlresolver-1.2_1,0,0
101,6e643dfc,FAIL,15,NO,0,NO,0,2008-09-04 15:55:31 +0000,[maven-release-plugin] prepare for next development iteration,0,0
102,b8cb26e5,FAIL,18,NO,0,NO,0,2008-09-04 15:55:58 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.xmlschema-1.4.2_1,0,0
103,2c9568ff,FAIL,28,NO,0,NO,0,2008-09-04 15:56:02 +0000,[maven-release-plugin] prepare for next development iteration,0,0
104,09a7b214,FAIL,17,NO,0,NO,0,2008-09-04 15:58:21 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.xmlsec-1.3.0_1,0,0
105,7fc9a8bc,FAIL,29,NO,0,NO,0,2008-09-04 15:58:26 +0000,[maven-release-plugin] prepare for next development iteration,0,0
106,f9edc273,FAIL,13,NO,0,NO,0,2008-09-04 15:59:36 +0000,Add missing repo,0,0
107,306d7eef,FAIL,14,NO,0,NO,0,2008-09-04 16:00:28 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.fastinfoset-1.2.2_1,0,0
108,bd5a889c,FAIL,13,NO,0,NO,0,2008-09-04 16:00:36 +0000,[maven-release-plugin] prepare for next development iteration,0,0
109,4da7d589,SUCCESS,9,SUCCESS,6,SUCCESS,9,2008-09-05 07:59:17 +0000,Remove released bundles from the build,0,0
110,8898bfdc,SUCCESS,26,SUCCESS,5,SUCCESS,6,2008-09-11 15:30:41 +0000,Remove unused bundles from build,0,0
111,0dda9c1e,SUCCESS,13,SUCCESS,6,SUCCESS,18,2008-09-12 07:10:39 +0000,SMX4-94: add a jetty bundle,0,0
112,fba51a9d,SUCCESS,7,SUCCESS,7,SUCCESS,7,2008-09-12 07:24:55 +0000,"SMX4-62: add legal version property to bundles-pom, patch provided by Jonathan Anstey",0,0
113,2d2a0c2b,SUCCESS,8,SUCCESS,19,SUCCESS,7,2008-09-22 09:08:22 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-codec-1.2_1,0,0
114,a8645e59,SUCCESS,7,SUCCESS,7,SUCCESS,6,2008-09-22 09:08:24 +0000,[maven-release-plugin] prepare for next development iteration,0,0
115,f5684822,SUCCESS,18,SUCCESS,7,SUCCESS,8,2008-09-22 09:18:51 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-jxpath-1.2_1,0,0
116,56e74177,SUCCESS,30,SUCCESS,8,SUCCESS,7,2008-09-22 09:18:53 +0000,[maven-release-plugin] prepare for next development iteration,0,0
117,fc31fb9b,SUCCESS,10,SUCCESS,8,SUCCESS,18,2008-09-22 09:20:47 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jasper-6.0.14_1,0,0
118,18c60186,SUCCESS,7,SUCCESS,8,SUCCESS,8,2008-09-22 09:20:49 +0000,[maven-release-plugin] prepare for next development iteration,0,0
119,c4e4003d,SUCCESS,21,SUCCESS,8,SUCCESS,8,2008-09-22 09:22:32 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jetty-bundle-6.1.12rc1_1,0,0
120,7e472dd5,SUCCESS,8,SUCCESS,22,SUCCESS,7,2008-09-22 09:22:37 +0000,[maven-release-plugin] prepare for next development iteration,0,0
121,7970a744,SUCCESS,9,SUCCESS,7,SUCCESS,6,2008-09-22 09:25:21 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.saaj-impl-1.3_1,0,0
122,0db21b35,SUCCESS,17,SUCCESS,7,SUCCESS,6,2008-09-22 09:25:24 +0000,[maven-release-plugin] prepare for next development iteration,0,0
123,c3519dcb,SUCCESS,8,SUCCESS,6,SUCCESS,23,2008-09-22 09:34:39 +0000,Revert releases and use latest parent pom,0,0
124,0d31eac8,SUCCESS,7,SUCCESS,6,SUCCESS,6,2008-09-22 09:37:36 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jetty-bundle-6.1.12rc1_1,0,0
125,5e70536c,SUCCESS,7,SUCCESS,6,SUCCESS,7,2008-09-22 09:37:39 +0000,[maven-release-plugin] prepare for next development iteration,0,0
126,65e92d28,SUCCESS,9,SUCCESS,6,SUCCESS,7,2008-09-22 09:39:59 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-codec-1.2_1,0,0
127,25cab246,SUCCESS,9,SUCCESS,6,SUCCESS,5,2008-09-22 09:40:01 +0000,[maven-release-plugin] prepare for next development iteration,0,0
128,8fd5359e,SUCCESS,7,SUCCESS,5,SUCCESS,6,2008-09-22 09:41:20 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-jxpath-1.2_1,0,0
129,bf639dc3,SUCCESS,7,SUCCESS,7,SUCCESS,9,2008-09-22 09:41:23 +0000,[maven-release-plugin] prepare for next development iteration,0,0
130,ec130adc,SUCCESS,19,SUCCESS,8,SUCCESS,9,2008-09-22 09:42:57 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jasper-6.0.14_1,0,0
131,a2b412e2,SUCCESS,11,SUCCESS,22,SUCCESS,8,2008-09-22 09:42:59 +0000,[maven-release-plugin] prepare for next development iteration,0,0
132,4d3dfc75,SUCCESS,10,SUCCESS,7,SUCCESS,24,2008-09-22 09:44:06 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.saaj-impl-1.3_1,0,0
133,5929abc3,SUCCESS,9,SUCCESS,8,SUCCESS,7,2008-09-22 09:44:08 +0000,[maven-release-plugin] prepare for next development iteration,0,0
134,16fe91dc,SUCCESS,3,SUCCESS,17,SUCCESS,2,2008-09-22 09:53:54 +0000,Disable bundles being released,0,0
135,7841c2e4,SUCCESS,3,SUCCESS,2,SUCCESS,3,2008-09-25 07:26:17 +0000,[SMX4-120]change SOAPFactory and MessageFactory name in saaj-impl bundle,0,0
136,22772c96,SUCCESS,3,SUCCESS,2,SUCCESS,3,2008-09-25 09:01:31 +0000,Recut release of bundles,0,0
137,fd4ab2d2,SUCCESS,4,SUCCESS,3,SUCCESS,2,2008-09-25 09:23:21 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-codec-1.2_1,0,0
138,717534ee,SUCCESS,19,SUCCESS,2,SUCCESS,2,2008-09-25 09:23:24 +0000,[maven-release-plugin] prepare for next development iteration,0,0
139,0dbde0d1,SUCCESS,2,SUCCESS,3,SUCCESS,3,2008-09-25 09:27:42 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-jxpath-1.2_1,0,0
140,67253f30,SUCCESS,3,SUCCESS,3,SUCCESS,3,2008-09-25 09:27:45 +0000,[maven-release-plugin] prepare for next development iteration,0,0
141,6d923a67,SUCCESS,2,SUCCESS,25,SUCCESS,2,2008-09-25 09:33:38 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jasper-6.0.14_1,0,0
142,83794dc5,SUCCESS,2,SUCCESS,2,SUCCESS,2,2008-09-25 09:33:41 +0000,[maven-release-plugin] prepare for next development iteration,0,0
143,a3852149,SUCCESS,2,SUCCESS,2,SUCCESS,2,2008-09-25 09:36:35 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jetty-bundle-6.1.12rc1_1,0,0
144,e2d00f0d,SUCCESS,2,SUCCESS,2,SUCCESS,2,2008-09-25 09:36:40 +0000,[maven-release-plugin] prepare for next development iteration,0,0
145,9f1948b2,SUCCESS,2,SUCCESS,2,SUCCESS,3,2008-09-25 09:38:05 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.saaj-impl-1.3_1,0,0
146,3a5f0bca,SUCCESS,23,SUCCESS,3,SUCCESS,3,2008-09-25 09:38:09 +0000,[maven-release-plugin] prepare for next development iteration,0,0
147,ec9c4541,FAIL,20,NO,0,NO,0,2008-09-30 13:50:25 +0000,SMX4-49: Adding bundles for Camel component dependencies,0,0
148,55cd19a6,FAIL,23,NO,0,NO,0,2008-09-30 14:30:42 +0000,SMX4-49: Adding commons-csv for camel-csv,0,0
149,2b07e156,FAIL,8,NO,0,NO,0,2008-10-02 08:36:25 +0000,Fixing build for commons-csv - SNAPSHOT version for parent pom should be fetched from iona repo,0,0
150,4de9b547,FAIL,9,NO,0,NO,0,2008-10-02 08:46:01 +0000,Adding SNAPSHOT builds for beanutils,0,0
151,ea0b4f1d,FAIL,8,NO,0,NO,0,2008-10-02 10:13:38 +0000,Adding SNAPSHOT build for jsch-0.1.31 again,0,0
152,45d1c96d,FAIL,22,NO,0,NO,0,2008-10-14 19:27:29 +0000,Add commons-vfs and commons-jexl bundles,0,0
153,b7d5659b,FAIL,7,NO,0,NO,0,2008-10-15 10:02:18 +0000,Fix commons-jexl and commons-vfs imports,0,0
154,2570bd9d,FAIL,10,NO,0,NO,0,2008-10-16 14:30:19 +0000,Add jaxp-ri bundle which is required by saaj-impl,0,0
155,e15b1c9b,FAIL,13,NO,0,NO,0,2008-10-22 08:57:59 +0000,Use timestamped version of commons-csv instead,0,0
156,f1e2c3e3,FAIL,17,NO,0,NO,0,2008-10-22 09:32:03 +0000,Remove jaxp-ri bundle from build,0,0
157,c53a7c41,FAIL,300,NO,0,NO,0,2008-10-22 09:39:34 +0000,Add smx m2-repo for commons-csv,0,0
158,4c3d47a3,FAIL,300,NO,0,NO,0,2008-10-22 09:59:28 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-beanutils-1.7.0_1,0,0
159,dba53137,FAIL,301,NO,0,NO,0,2008-10-22 09:59:32 +0000,[maven-release-plugin] prepare for next development iteration,0,0
160,64455ccb,FAIL,301,NO,0,NO,0,2008-10-22 09:59:34 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.abdera-0.4.0-incubating_1,0,0
161,08f51c5f,FAIL,301,NO,0,NO,0,2008-10-22 09:59:37 +0000,[maven-release-plugin] prepare for next development iteration,0,0
162,62a6a2b0,FAIL,301,NO,0,NO,0,2008-10-22 10:03:55 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-csv-1.0-r706899_1,0,0
163,eba9cfe6,FAIL,300,NO,0,NO,0,2008-10-22 10:03:59 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-dbcp-1.2.2_1,0,0
164,da1a3181,FAIL,304,NO,0,NO,0,2008-10-22 10:03:59 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-jexl-1.1_1,0,0
165,3ff87d29,FAIL,300,NO,0,NO,0,2008-10-22 10:03:59 +0000,[maven-release-plugin] prepare for next development iteration,0,0
166,c0a683a8,FAIL,300,NO,0,NO,0,2008-10-22 10:04:02 +0000,[maven-release-plugin] prepare for next development iteration,0,0
167,1ef882a6,FAIL,301,NO,0,NO,0,2008-10-22 10:04:03 +0000,[maven-release-plugin] prepare for next development iteration,0,0
168,e4d79f1b,FAIL,301,NO,0,NO,0,2008-10-22 10:06:20 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-vfs-1.0_1,0,0
169,6abc1c8c,FAIL,300,NO,0,NO,0,2008-10-22 10:06:22 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.dom4j-1.6_1,0,0
170,a4273e98,FAIL,301,NO,0,NO,0,2008-10-22 10:06:25 +0000,[maven-release-plugin] prepare for next development iteration,0,0
171,4ade39aa,FAIL,301,NO,0,NO,0,2008-10-22 10:06:27 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.flatpack-3.1.1_1,0,0
172,11d67320,FAIL,301,NO,0,NO,0,2008-10-22 10:06:27 +0000,[maven-release-plugin] prepare for next development iteration,0,0
173,d2c31d49,FAIL,300,NO,0,NO,0,2008-10-22 10:06:32 +0000,[maven-release-plugin] prepare for next development iteration,0,0
174,6f280c05,FAIL,300,NO,0,NO,0,2008-10-22 10:07:31 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.httpcore-4.0-alpha6_1,0,0
175,5b1b3bdf,FAIL,301,NO,0,NO,0,2008-10-22 10:07:35 +0000,[maven-release-plugin] prepare for next development iteration,0,0
176,6691dad8,FAIL,301,NO,0,NO,0,2008-10-22 10:08:34 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.ibatis-sqlmap-2.3.4.726_1,0,0
177,7235c46e,FAIL,301,NO,0,NO,0,2008-10-22 10:08:37 +0000,[maven-release-plugin] prepare for next development iteration,0,0
178,036bb738,FAIL,301,NO,0,NO,0,2008-10-22 10:08:53 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.hamcrest-1.1_1,0,0
179,64ad8b3b,FAIL,300,NO,0,NO,0,2008-10-22 10:08:56 +0000,[maven-release-plugin] prepare for next development iteration,0,0
180,ad74d82c,FAIL,301,NO,0,NO,0,2008-10-22 10:08:58 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.irclib-1.10_1,0,0
181,f5f85162,FAIL,301,NO,0,NO,0,2008-10-22 10:09:01 +0000,[maven-release-plugin] prepare for next development iteration,0,0
182,a9ae76ed,FAIL,301,NO,0,NO,0,2008-10-22 10:09:11 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jcr-api-1.0_1,0,0
183,8831b7b5,FAIL,300,NO,0,NO,0,2008-10-22 10:09:15 +0000,[maven-release-plugin] prepare for next development iteration,0,0
184,18825618,FAIL,300,NO,0,NO,0,2008-10-22 10:10:08 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jdom-1.1_1,0,0
185,d702a24a,FAIL,301,NO,0,NO,0,2008-10-22 10:10:12 +0000,[maven-release-plugin] prepare for next development iteration,0,0
