error,count
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.selectLike-Inline ### The error occurred while setting parameters ### SQL: SELECT *     FROM ibtest.names     WHERE description LIKE ?     ORDER BY id ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/criterion/Criterion.xml ### The error may involve org.apache.ibatis.submitted.criterion.simpleSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE firstName = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/dynsql2/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql2.simpleSelect-Inline ### The error occurred while setting parameters ### SQL: select * from ibtest.names where id = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/dynsql2/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql2.dynamicSelectWithTypeHandler-Inline ### The error occurred while setting parameters ### SQL: select *     from ibtest.names      WHERE (firstName = ?) and         (lastName = ?)       or         (firstName = ?) and         (lastName = ?) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/binding/BoundBlogMapper.java (best guess) ### The error may involve org.apache.ibatis.binding.BoundBlogMapper.selectBlogAsMap-Inline ### The error occurred while setting parameters ### SQL: SELECT * FROM blog WHERE id = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/binding/BoundBlogMapper.java (best guess) ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: SELECT * FROM blog ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/parametrizedlist/Mapper.java (best guess) ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select id, name from users ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/parametrizedlist/Mapper.java (best guess) ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select id, name from users where id=1 ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/camelcase/Map.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select * from names ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.simpleSelectWithPrimitives-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE id in (         1       ,         3       ,         5       ) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.simpleSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE lastName = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select *     from names      WHERE id in (         1       ,         3       ,         5       ) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
