error,count
resource &#x27;org/activiti/engine/test/bpmn/gateway/InclusiveGatewayTest.testWithSignalBoundaryEvent.bpmn20.xml&#x27; not found,4
time limit of 2000 was exceeded,65
Exception while waiting on condition: Query return 207 results instead of max 1,1
Exception while waiting on condition: Query return 176 results instead of max 1,1
Exception while waiting on condition: Query return 222 results instead of max 1,1
Exception while waiting on condition: Query return 143 results instead of max 1,1
"No catching boundary event found for error with errorCode &#x27;123&#x27;, neither in same process nor in parent process (errorCode=&#x27;123&#x27;)",1
"No catching boundary event found for error with errorCode &#x27;23&#x27;, neither in same process nor in parent process (errorCode=&#x27;23&#x27;)",1
time limit of 1000 was exceeded,2
Exception while waiting on condition: Query return 186 results instead of max 1,1
Exception while waiting on condition: Query return 200 results instead of max 1,1
Exception while waiting on condition: Query return 274 results instead of max 1,1
Could not update Activiti database schema: unknown version from database: &#x27;5.15.1&#x27;,49
"version mismatch: activiti library version is &#x27;5.16-SNAPSHOT&#x27;, db version is 5.15.1 Hint: Set &lt;property name=&quot;databaseSchemaUpdate&quot; to value=&quot;true&quot; or value=&quot;create-drop&quot; (use create-drop for testing only!) in bean processEngineConfiguration in activiti.cfg.xml for automatic schema creation",2
 ### Error updating database.  Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: &quot;ACT_FK_EXE_PROCDEF: PUBLIC.ACT_RU_EXECUTION FOREIGN KEY(PROC_DEF_ID_) REFERENCES PUBLIC.ACT_RE_PROCDEF(ID_) (&#x27;forkJoinNested:1:22890&#x27;)&quot;; SQL statement: delete from ACT_RE_PROCDEF where DEPLOYMENT_ID_ = ? [23503-170] ### The error may involve org.activiti.engine.impl.persistence.entity.ProcessDefinitionEntity.deleteProcessDefinitionsByDeploymentId-Inline ### The error occurred while setting parameters ### SQL: delete from ACT_RE_PROCDEF where DEPLOYMENT_ID_ = ? ### Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: &quot;ACT_FK_EXE_PROCDEF: PUBLIC.ACT_RU_EXECUTION FOREIGN KEY(PROC_DEF_ID_) REFERENCES PUBLIC.ACT_RE_PROCDEF(ID_) (&#x27;forkJoinNested:1:22890&#x27;)&quot;; SQL statement: delete from ACT_RE_PROCDEF where DEPLOYMENT_ID_ = ? [23503-170],1
