id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
1197,b7704ce4,FAIL,16,NO,0,NO,0,2018-05-20 19:40:09 -0500,[licensing] add missing headers called out by the RAT plugin.,210,18496
1198,a85b8273,FAIL,15,NO,0,NO,0,2017-12-02 13:20:44 -0800,[s3] Remove unnecessary getObjectMetadata() from getS3ObjectAndMetadata() (#1060),210,18489
1199,7ecbbc36,FAIL,15,NO,0,NO,0,2018-02-12 14:05:02 -0800,"[core] Address another issue from #981 by adding ""measurement.histogram.verbose"" as (#1085)",210,18499
1200,9d428b6a,FAIL,14,NO,0,NO,0,2018-02-12 14:05:13 -0800,[core] Fix an issue in #981 where the newline was missing after printing out (#1084),210,18500
1201,0c269338,FAIL,15,NO,0,NO,0,2018-05-23 23:42:56 -0500,[version] update master to 0.15.0-SNAPSHOT,210,18500
1202,e94a11e1,FAIL,14,NO,0,NO,0,2018-06-13 20:38:36 -0400,[build] Add missing version to rat plugin (#1168),210,18500
1203,3e01449e,FAIL,27,NO,0,NO,0,2018-06-13 20:38:56 -0400,[accumulo] Use latest versions of Accumulo (#1167),210,18500
1204,f479f154,FAIL,16,NO,0,NO,0,2018-06-13 21:19:22 -0500,[release] Update README for the release of YCSB 0.14.0 (#1174),210,18500
1205,d2d9a3fd,FAIL,14,NO,0,NO,0,2018-06-25 23:20:18 +0800,[core] Add options for user-specified min field length (#1177),210,18508
1206,563925ed,FAIL,14,NO,0,NO,0,2018-07-07 09:34:04 +0530,[rocksdb] Added support for RocksDB Java API (#1052),213,18820
1207,f513f5b4,FAIL,14,NO,0,NO,0,2017-10-03 19:22:59 +0300,"[ignite, ignite-sql] Add Apache Ignite clients 'ignite' and 'ignite-sql' (#1118)",220,19519
1208,a9ad5b6f,FAIL,16,NO,0,NO,0,2018-07-09 16:48:27 +0200,"[arangodb, arangodb3] updated ArangoDB binding (Java driver 4.4.1) (#1166)",218,19283
1209,dab5f20b,FAIL,13,NO,0,NO,0,2018-07-15 10:37:37 -0400,"Test against JDK 9, 10, 11 (#1186)",218,19283
1210,e6369635,FAIL,15,NO,0,NO,0,2018-07-16 00:19:27 +0900,[foundationdb] add a new client for FoundationDB (#1162),220,19498
1211,7e19b754,FAIL,15,NO,0,NO,0,2018-07-14 19:15:29 +0300,"[ignite, ignite-sql] clean up for apache ignite clients",220,19502
1212,aedf6efe,FAIL,14,NO,0,NO,0,2018-07-26 21:37:52 -0500,"[ignite, ignite-sql] clean up for apache ignite clients Fixes for Apache Ignite client (addendum)",220,19514
1213,c506ef90,FAIL,15,NO,0,NO,0,2018-07-28 22:34:50 -0500,[version] update master to 0.16.0-SNAPSHOT,220,19514
1214,51320479,FAIL,15,NO,0,NO,0,2018-07-29 11:16:51 -0500,"[ignite, ignite-sql] update to Apache Ignite (incubating) version 2.6.0",220,19514
1215,8f57b1ac,FAIL,13,NO,0,NO,0,2018-08-13 17:37:23 +0300,[ignite] fix Ignite README.md.    (#1215),220,19514
1216,668d5a87,FAIL,15,NO,0,NO,0,2018-08-16 11:44:05 +0800,form MongoDB 4.0: update mongodb-java-driver to 3.8,220,19514
1217,47cb4079,FAIL,14,NO,0,NO,0,2018-08-14 22:18:12 -0500,[release] Update README for the release of YCSB 0.15.0,220,19514
1218,d1a8a694,FAIL,15,NO,0,NO,0,2018-08-19 20:35:25 -0400,Merge pull request #1217 from stutiredboy/master,220,19514
1219,f79a40e7,FAIL,14,NO,0,NO,0,2018-08-27 11:59:31 -0400,[jdbc] support JDBC option to rewrite batch statement to multi-row insert (#1220),220,19514
1220,b31a5681,FAIL,13,NO,0,NO,0,2018-09-04 00:52:33 +0800,[basicdb] Modifty the example for basicdb in order to adapt to the curd interface (#1160),220,19514
1221,c99a7e4a,FAIL,14,NO,0,NO,0,2018-09-04 22:55:50 -0500,Merge pull request #117 from gelin/fieldnameprefix,220,19517
1222,5f5ad6f6,FAIL,14,NO,0,NO,0,2018-09-08 08:55:17 -0500,[core] bring client bindings up to date for configurable field names.,220,19531
1223,3f39cac8,FAIL,13,NO,0,NO,0,2018-09-11 18:06:25 -0300,[elasticsearch5-rest] add forgotten elasticsearch5-rest binding.,220,19514
1224,bcd492d7,FAIL,14,NO,0,NO,0,2018-11-08 08:32:17 -0600,"[travis] drop deprecated oracle JDKs, add openjdk versions for jdk8 and jdk11",220,19514
1225,4bff631c,FAIL,14,NO,0,NO,0,2018-10-28 17:05:28 -0700,Render two classes public for reuse in applications.,222,19524
1226,e5f436cf,FAIL,16,NO,0,NO,0,2018-11-20 10:57:42 -0600,Merge pull request #1224 from busbey/pr-117-amend,222,19541
1227,d4538ca9,FAIL,15,NO,0,NO,0,2018-11-09 16:40:26 -0800,[hbase20] fix package in bindings,222,19541
1228,5bef82d4,FAIL,15,NO,0,NO,0,2018-11-11 17:21:37 +0100,"[orientdb] fixed issue #1045, updated to orientdb version 2.2.37, added an example for remote connection",222,19541
1229,e6bd7393,FAIL,13,NO,0,NO,0,2018-11-23 18:41:33 +0100,[memcached] Fixes issue where fields are skipped when readallfields is false (Issue #1153).,222,19541
1230,2f03a2f8,FAIL,13,NO,0,NO,0,2018-11-27 14:10:14 -0800,Azure Cosmos [DB] (#1264),224,19836
1231,acc43000,FAIL,14,NO,0,NO,0,2019-04-19 16:10:08 -0700,Adding the ability to connect to Cassandra using SSL connections. (#1294),224,19843
1232,a90a5a7e,FAIL,14,NO,0,NO,0,2019-04-19 16:11:22 -0700,Removing deprecated driver. (#1295),222,19684
1233,0397cb6c,FAIL,15,NO,0,NO,0,2019-04-19 17:49:23 -0700,Optimizing the driver to remove unneeded work and (#1298),222,19666
1234,ac13d7f4,FAIL,16,NO,0,NO,0,2019-04-23 10:19:37 -0700,Updating to the latest driver and removing flag that are no longer needed. (#1300),222,19640
1235,f3a75493,FAIL,14,NO,0,NO,0,2019-04-25 18:06:31 -0500,[hbase098] document the client side buffering config. (#1283),222,19640
1236,e47de419,FAIL,16,NO,0,NO,0,2019-04-26 02:08:49 +0300,[ignite] Apache Ignite version updated (#1270),222,19640
1237,60f4d5d1,FAIL,13,NO,0,NO,0,2019-04-25 17:15:28 -0700,[cloudspanner bigtable] Update client library versions (#1293),222,19640
